sheet_row,sku,product_type,product_subtype,product_name,body_material_primary,finish_name,colour_family,mount_type,parts_list,cable_type,cable_material,img_url
69,PHCH1PWRSOR,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Glossy painted,Orange,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2474.jpg
70,PHCH1PWRSGY,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Matte Gray,Gray,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2473.jpg
71,PHCH1PWRSGR,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Glossy painted,Green,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2472.jpg
72,PHCH1PWRSBL,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Glossy painted,Blue,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2471.jpg
73,PHCH1PWRSPI,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Painted Pink,Pink,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3165.jpg
74,PHCH1PWRSBD,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Rubber Cable,Metal,Navy Blue,Navy Blue,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3164.jpg
75,PHCH1PCTSYE,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Plastic Pendant Lamp Holder with 1m Twisted Fabric Cable,Metal,Glossy painted,Yellow,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3704.jpg
76,PHCH1PCTSGY,Lighting Accessory,Pendant Lamp Holder,E27 GreyPlastic Pendant Lamp Holder with 1m Twisted Fabric Cable,Metal,Matte Gray,gray,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3703.jpg
77,PHCH1PCTSDG,Lighting Accessory,Pendant Lamp Holder,E27 Green Plastic Pendant Lamp Holder with 1m Twisted Fabric Cable,Metal,Green,Green,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3702.jpg
78,PHCH1PCTSRE,Lighting Accessory,Pendant Lamp Holder,E27 Red Plastic Pendant Lamp Holder with 1m Twisted Fabric Cable,Metal,Gloss Plastic Finish,Red,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3701.jpg
